,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
0,"Population, total",195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,..
1,Population growth (annual %),0.937956737505973,0.915962656318059,0.893531057922595,0.873603191241425,0.855792022891126,0.838848282593092,0.823748231993439,0.807147162261819,0.783847578971981,..
2,Surface area (sq. km),8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..
3,Population density (people per sq. km of land area),23.4159316546504,23.6313981340346,23.8434981945744,24.0527082580574,24.2594327206771,24.4637884744692,24.6661407920901,24.8660384966033,25.0617162430876,..
5,"GNI, Atlas method (current US$)",1890905731755.23,2188200142541.01,2463186549163.9,2575918819753.08,2454068652465.94,2078344853713.95,1840498429566.02,1802952678568.27,1915275143717.53,..
6,"GNI per capita, Atlas method (current US$)",9660,11080,12360,12810,12100,10160,8930,8670,9140,..
7,"GNI, PPP (current international $)",2720411708683,2897463027103.88,3024656029489.04,3199962919896.06,3251231997139.54,3163684993443.51,3094875614934.33,3194803975798.16,3314554681344.12,..
8,"GNI per capita, PPP (current international $)",13900,14670,15180,15920,16030,15470,15010,15370,15820,..
9,Income share held by lowest 20%,..,3.3,3.4,3.4,3.7,3.6,3.2,3.2,..,..
10,"Life expectancy at birth, total (years)",73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,..,..
11,"Fertility rate, total (births per woman)",1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,..,..
12,"Adolescent fertility rate (births per 1,000 women ages 15-19)",66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111,..,..
13,"Contraceptive prevalence, any methods (% of women ages 15-49)",..,..,..,80.2,..,..,..,..,..,..
14,Births attended by skilled health staff (% of total),98.9,99,99,99.1,99.1,99.2,..,..,..,..
15,"Mortality rate, under-5 (per 1,000 live births)",18.7,17.9,17.3,16.7,16.2,15.7,16.3,14.8,14.4,..
18,"School enrollment, primary (% gross)",..,132.4966,134.5204,113.9198,114.2547,112.7733,113.9454,115.4478,..,..
19,"School enrollment, secondary (% gross)",..,95.26338,92.99245,102.0686,100.838,100.0671,101.5363,100.8277,..,..
20,"School enrollment, primary and secondary (gross), gender parity index (GPI)",..,1.02593,1.02894,1.02651,1.03266,1.01545,1.01698,1.00377,..,..
21,"Prevalence of HIV, total (% of population ages 15-49)",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,..
22,Forest area (sq. km),4984580,4974740,4964900,4955060,4945220,4935380,4925540,..,..,..
23,Terrestrial and marine protected areas (% of total territorial area),..,..,..,..,..,..,20.7372842292403,28.5782526119273,28.5782526119273,..
24,"Annual freshwater withdrawals, total (% of internal resources)",..,..,1.32096802685038,..,1.32096802685038,..,..,..,..,..
25,Urban population growth (annual %),1.28360570617036,1.26632924617998,1.23796437590341,1.20981350606531,1.18736581920793,1.16349738495069,1.14037359422221,1.11698034638051,1.08463813215672,..
26,Energy use (kg of oil equivalent per capita),1358.5024160427,1367.18809766171,1413.73335709267,1461.07678089719,1495.54120710984,..,..,..,..,..
27,CO2 emissions (metric tons per capita),2.14473639509072,2.22471194448911,2.35854836426703,2.50540878760348,2.61293352087838,..,..,..,..,..
28,Electric power consumption (kWh per capita),2374.11665262872,2430.8033959668,2501.47405281669,2568.82970799499,2619.96061573831,..,..,..,..,..
29,GDP (current US$),2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48,..
30,GDP growth (annual %),7.52822583005563,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.30545431266852,1.06386125924512,1.11757918028799,..
31,"Inflation, GDP deflator (annual %)",8.42333832793074,8.3185922188201,7.9431269413538,7.50454436934274,7.84674863327621,7.5661563986378,8.10000829597706,3.47281059925386,3.02544094379658,..
